1160000	1160000	268
0	1200000	4
40000	1200000	1
80000	1200000	1
120000	1200000	4
160000	1200000	2
200000	1200000	4
240000	1200000	10
280000	1200000	5
320000	1200000	2
360000	1200000	12
400000	1200000	3
440000	1200000	4
480000	1200000	6
520000	1200000	6
560000	1200000	4
600000	1200000	6
640000	1200000	6
680000	1200000	8
720000	1200000	4
760000	1200000	6
800000	1200000	15
840000	1200000	16
880000	1200000	9
920000	1200000	19
960000	1200000	16
1000000	1200000	8
1040000	1200000	24
1080000	1200000	23
1120000	1200000	34
1160000	1200000	90
1200000	1200000	245
0	1240000	3
40000	1240000	1
80000	1240000	2
120000	1240000	2
160000	1240000	5
200000	1240000	2
240000	1240000	6
280000	1240000	8
320000	1240000	4
360000	1240000	4
400000	1240000	1
440000	1240000	2
480000	1240000	3
520000	1240000	5
560000	1240000	6
600000	1240000	4
640000	1240000	4
680000	1240000	10
720000	1240000	2
760000	1240000	9
800000	1240000	5
840000	1240000	10
880000	1240000	11
920000	1240000	13
960000	1240000	22
1000000	1240000	18
1040000	1240000	25
1080000	1240000	24
1120000	1240000	24
1160000	1240000	31
1200000	1240000	99
1240000	1240000	309
0	1280000	2
40000	1280000	1
80000	1280000	3
120000	1280000	5
160000	1280000	3
200000	1280000	4
240000	1280000	3
280000	1280000	4
320000	1280000	3
360000	1280000	8
400000	1280000	3
440000	1280000	7
480000	1280000	0
520000	1280000	3
560000	1280000	8
600000	1280000	2
640000	1280000	5
680000	1280000	3
720000	1280000	2
760000	1280000	2
800000	1280000	6
840000	1280000	7
880000	1280000	10
920000	1280000	12
960000	1280000	15
1000000	1280000	10
1040000	1280000	17
1080000	1280000	17
1120000	1280000	12
1160000	1280000	20
1200000	1280000	29
1240000	1280000	74
1280000	1280000	176
0	1320000	5
40000	1320000	1
80000	1320000	6
120000	1320000	6
160000	1320000	4
200000	1320000	5
240000	1320000	6
280000	1320000	5
320000	1320000	3
360000	1320000	7
400000	1320000	4
440000	1320000	2
480000	1320000	1
520000	1320000	3
560000	1320000	8
600000	1320000	5
640000	1320000	5
680000	1320000	4
720000	1320000	4
760000	1320000	4
800000	1320000	7
840000	1320000	11
880000	1320000	11
920000	1320000	15
960000	1320000	15
1000000	1320000	16
1040000	1320000	20
1080000	1320000	16
1120000	1320000	24
1160000	1320000	16
1200000	1320000	15
1240000	1320000	24
1280000	1320000	42
1320000	1320000	220
0	1360000	2
40000	1360000	2
80000	1360000	5
120000	1360000	2
160000	1360000	3
200000	1360000	4
240000	1360000	5
280000	1360000	7
320000	1360000	3
360000	1360000	6
400000	1360000	4
440000	1360000	2
480000	1360000	4
520000	1360000	3
560000	1360000	2
600000	1360000	2
640000	1360000	4
680000	1360000	5
720000	1360000	6
760000	1360000	1
800000	1360000	8
840000	1360000	12
880000	1360000	13
920000	1360000	18
960000	1360000	16
1000000	1360000	17
1040000	1360000	17
1080000	1360000	8
1120000	1360000	13
1160000	1360000	15
1200000	1360000	22
1240000	1360000	23
1280000	1360000	20
1320000	1360000	53
1360000	1360000	288
0	1400000	0
40000	1400000	5
80000	1400000	1
120000	1400000	2
160000	1400000	8
200000	1400000	7
240000	1400000	2
280000	1400000	6
320000	1400000	3
360000	1400000	10
400000	1400000	7
440000	1400000	6
480000	1400000	4
520000	1400000	5
560000	1400000	5
600000	1400000	3
640000	1400000	3
680000	1400000	1
720000	1400000	1
760000	1400000	3
800000	1400000	5
840000	1400000	9
880000	1400000	5
920000	1400000	14
960000	1400000	8
1000000	1400000	11
1040000	1400000	14
1080000	1400000	8
1120000	1400000	6
1160000	1400000	10
1200000	1400000	9
1240000	1400000	14
1280000	1400000	9
1320000	1400000	16
1360000	1400000	62
1400000	1400000	336
0	1440000	2
40000	1440000	0
80000	1440000	3
120000	1440000	5
160000	1440000	7
200000	1440000	6
240000	1440000	6
280000	1440000	2
320000	1440000	8
360000	1440000	9
400000	1440000	6
440000	1440000	3
480000	1440000	5
520000	1440000	5
560000	1440000	6
600000	1440000	1
640000	1440000	4
680000	1440000	8
720000	1440000	2
760000	1440000	6
800000	1440000	5
840000	1440000	12
880000	1440000	13
920000	1440000	12
960000	1440000	8
1000000	1440000	7
1040000	1440000	13
1080000	1440000	8
1120000	1440000	12
1160000	1440000	6
1200000	1440000	10
1240000	1440000	11
1280000	1440000	10
1320000	1440000	18
1360000	1440000	25
1400000	1440000	86
1440000	1440000	289
0	1480000	3
40000	1480000	3
80000	1480000	2
120000	1480000	4
160000	1480000	4
200000	1480000	9
240000	1480000	4
280000	1480000	7
320000	1480000	10
360000	1480000	3
400000	1480000	3
440000	1480000	0
480000	1480000	6
520000	1480000	3
560000	1480000	5
600000	1480000	2
640000	1480000	4
680000	1480000	6
720000	1480000	3
760000	1480000	0
800000	1480000	3
840000	1480000	10
880000	1480000	6
920000	1480000	9
960000	1480000	12
1000000	1480000	6
1040000	1480000	5
1080000	1480000	6
1120000	1480000	7
1160000	1480000	5
1200000	1480000	8
1240000	1480000	8
1280000	1480000	6
1320000	1480000	13
1360000	1480000	14
1400000	1480000	23
1440000	1480000	109
1480000	1480000	212
0	1520000	2
40000	1520000	5
80000	1520000	1
120000	1520000	9
160000	1520000	3
200000	1520000	4
240000	1520000	4
280000	1520000	4
320000	1520000	7
360000	1520000	10
400000	1520000	9
440000	1520000	4
480000	1520000	2
520000	1520000	3
560000	1520000	8
600000	1520000	2
640000	1520000	4
